product_name,description,features.Color,features.Size,features.Material,price,category,Image,addedBy,createdAt
"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete","RESPONSIVE FLEX: The Crossbow features a bamboo core encased in triaxial fiberglass and HD plastic for a responsive flex pattern thatâ€™s second to none. Pumping & carving have never been so satisfying! Flex 2 is recommended for people 120 to 170 pounds. | COREFLEX TECH: CoreFlex construction is water resistant, impact resistant, scratch resistant and has a flex like you wonâ€™t believe. These boards combine fiberglass, epoxy, HD plastic and bamboo to create a perfect blend of performance and strength. | INSPIRED BY THE NORTHWEST: Our founding ideal is chasing adventure & riding the best boards possible, inspired by the hills, waves, beaches & mountains all around our headquarters in the Northwest | BEST IN THE WORLD: DB was founded out of sheer love of longboarding with a mission to create the best custom longboards in the world, to do it sustainably, & to treat customers & employees like family | BEYOND COMPARE: Try our skateboards & accessories if you've tried similar products by Sector 9, Landyachtz, Arbor, Loaded, Globe, Orangatang, Hawgs, Powell-Peralta, Blood Orange, Caliber or Gullwing",Green,XS,Wool,237.68,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards",https://images-na.ssl-images-amazon.com/images/I/51j3fPQTQkL.jpg|https://images-na.ssl-images-amazon.com/images/I/31hKM3cSoSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51WlHdwghfL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FsyLRBzwL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Carleen Osbiston,2024-03-30T00:00:00Z
"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)","Snap circuits mini kits classpack provides basic electronic circuitry activities for students in grades 2-6 | Includes 5 separate mini building kits- an FM radio, a motion detector, music box, space battle sound effects, and a flying saucer | Each kit includes separate components and instructions to build | Each component represents one function in a circuit; components snap together to create working models of everyday electronic devices | Activity guide provides additional projects to teach students how circuitry works",Purple,M,Cotton,99.95,Toys & Games | Learning & Education | Science Kits & Toys,https://images-na.ssl-images-amazon.com/images/I/51M0KnJxjKL.jpg|https://images-na.ssl-images-amazon.com/images/I/5166GD8OkXL.jpg|https://images-na.ssl-images-amazon.com/images/I/61o5S1VnaNL.jpg|https://images-na.ssl-images-amazon.com/images/I/61t4Q0rPYjL.jpg|https://images-na.ssl-images-amazon.com/images/I/61NASUAyqcL.jpg|https://images-na.ssl-images-amazon.com/images/I/51OMrADdyJL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Sam Lowdeane,2024-03-30T00:00:00Z
"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate","âœ…ã€Smooth 3D drawing experienced the best 3D drawing experience by only using 3Doodler Create Plastics with 3Doodler Create+ and create 3D Printing pen. | âœ…ã€Safe to useã€‘the 3Doodler Create Plastics, conforms to the health requirements of ASTM-D-4236 & require no additional labelling in accordance with the US Consumer Product safety Commissionâ€™s Regulations as mandated by Labeling of Hazardous Art Materials Act (LHAMA). | ðŸ‘ã€3Doodler very own Type of plasticã€‘the FLEXY plastic takes creativity to new levels! You can make flexible fun 3D creations! | ðŸŒã€Environmentally friendlyã€‘3doodler create Plastic is made of corn and are 100% compostable! | âœ…ã€125 strands of drawing funã€‘this bundle includes 5 refill filament packs, that's a total of 1043 ft. Of 3D drawing and doodling fun! | ðŸ“±ã€The 3Doodler appã€‘get an interactive experience! The app is packed with dedicated easy to follow stencil section and step by step interactive instructions, receive badges for completed projects and photograph & share YOUR creations directly on social media. The app is fully built on iOS & Android. | âœ…ã€All your favorite colorsã€‘this pack includes: green, blue, pink, orange & yellow",Pink,3XL,Cotton,34.99,Toys & Games | Arts & Crafts | Craft Kits,https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Kendal Battany,2024-03-30T00:00:00Z
Guillow Airplane Design Studio with Travel Case Building Kit,Make 8 different Planes at one time. | Experiment with different designs and learn about flight. | All contained in Part trays inside an attractive box with carry handle! | Guillow's - your one source for flying toys since 1926. | Made in the USA.,Fuscia,L,Silk,28.91,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits,https://images-na.ssl-images-amazon.com/images/I/516UijZMilL.jpg|https://images-na.ssl-images-amazon.com/images/I/51J6y3oM6VL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Stavros Shire,2024-03-30T00:00:00Z
Woodstock- Collage 500 pc Puzzle,Puzzle has 500 pieces | Completed puzzle measure 14 x 19 | 100% officially licensed merchandise | Great for fans & puzzlers alike,Fuscia,3XL,Polyester,17.49,Toys & Games | Puzzles | Jigsaw Puzzles,https://images-na.ssl-images-amazon.com/images/I/61plo8Xv4vL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Elsie Cleynman,2024-03-30T00:00:00Z
"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small","Polyester | Deluxe Pokemon child's Pikachu costume features a fleece jumpsuit with attached tail and headpiece with attached ears and printed face | Officially licensed Pokemon costume, look for trademark on packaging and label to help assure you've received authentic safety-tested item | Important: Costumes are sized differently than apparel, use the Rubie's Child Size Chart, do not choose based on child's age or clothing size | Group costume fun: coordinate with additional Pokemon costumes and accessories available from Rubie's | Family-owned, family-focused, and based in the U.S.A. Since 1951, Rubie's has classic and licensed costumes and accessories in sizes and styles for your entire family",Red,3XL,Polyester,29.12,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",https://images-na.ssl-images-amazon.com/images/I/311yBLR6GiL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Doralynn Ivashchenko,2024-03-30T00:00:00Z
"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch",The visual effect of textured glass and stained glass | Creates privacy / Provides UV protection | No adhesives / Applies easily | Patterns repeat to cover any size window | Made in USA,Green,M,Polyester,12.99,Home & Kitchen | Home DÃ©cor | Window Treatments | Window Stickers & Films | Window Films,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg|https://images-na.ssl-images-amazon.com/images/I/417B20oEehL.jpg|https://images-na.ssl-images-amazon.com/images/I/41J3bDg633L.jpg|https://images-na.ssl-images-amazon.com/images/I/51hhnuGWwdL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Malorie Zammett,2024-03-30T00:00:00Z
"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector","3 story reels: make reading even more magical with the Moonlite story reels bundle! With 3 story reels included in this set, read adventure-filled tales about Pirates, Dragon and a T-Rex to your little boy any time of day, and enjoy them again and again! | Easy-to-use portable storybook projector: The tales included in this 3-pack come alive with Moonlite! Clip the projector (sold separately) onto your smartphone (not included), slide in one of the set's story reels and project vibrant images onto any surface! Moonlite is lightweight and small enough to carry with you wherever you go. | Develop a love of learning: adored by children and adults, award-winning Moonlite and the story reels create an immersive reading experience that instills a love of learning at a young age. As kids follow along to their favorite stories, they develop their imagination, creativity and language skills. | The Moonlite 3-story bundle makes a great gift for boys aged 3 and up and includes 3 story reels. Read tales like how to be a pirate, there was an old Dragon who swallowed a Knight and I'm a T.Rex! Works with the Moonlite storybook projector (sold separately). | Includes: 3 story reels, 1 activation card, 1 quick start guide",Purple,XS,Polyester,18.16,Toys & Games | Baby & Toddler Toys,https://images-na.ssl-images-amazon.com/images/I/51rUvw7zrtL.jpg|https://images-na.ssl-images-amazon.com/images/I/51MYg4EV2pL.jpg|https://images-na.ssl-images-amazon.com/images/I/51tNGkk%2BQSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51EkeBHHZuL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FGAr81NXL.jpg|https://images-na.ssl-images-amazon.com/images/I/511xp-dN1nL.jpg|https://images-na.ssl-images-amazon.com/images/I/B1HrN5Ag7JS.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Elias Eustice,2024-03-30T00:00:00Z
DC Cover Girls: Black Canary by JoÃ«lle Jones Statue,"Designed by Joelle Jones | Sculpted by Jack Mathews | Rebirth-era character design | Limited to 5, 000 pieces | Individually numbered",Puce,XS,Cotton,84.61,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",https://images-na.ssl-images-amazon.com/images/I/415AfhrfM7L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Franklyn Coo,2024-03-30T00:00:00Z
"Baby Doll Bedding Chevron Window Valance and Curtain Set, Orange",Fits most standard sized windows | Modern chevron design | Fabric content: chevron and solid poly fabric,Pink,XL,Cotton,33.92,Baby Products | Nursery | DÃ©cor | Window Treatments | Valances,https://images-na.ssl-images-amazon.com/images/I/51wmH8yyGxL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Wallie Palfreeman,2024-03-30T00:00:00Z
